"animal_id","birthsite","year_birth","year_cap","age","weight.lb","weight.kg","antler.in","antler.cm","annual.by","annual.cy","by.rain.bin","cy.rain.bin","match"
"270-2007-1-001","dmp",2007,2013,6,212,96.36,137.875,350.2,38.35,34.5,"wet","wet","1"
"270-2012-1-277","dmp",2012,2013,1,121,55,40.375,102.55,15.8,34.5,"dry","wet","3"
"270-2010-1-019","dmp",2010,2013,3,167,75.91,127.625,324.17,31.8,34.5,"wet","wet","1"
"270-2012-1-263","dmp",2012,2013,1,127,57.73,51.125,129.86,15.8,34.5,"dry","wet","3"
"270-2007-1-057","dmp",2007,2013,6,183,83.18,144.25,366.4,38.35,34.5,"wet","wet","1"
"270-2011-1-269","dmp",2011,2013,2,134,60.91,97.375,247.33,14.1,34.5,"dry","wet","3"
"270-2010-1-001","dmp",2010,2013,3,153,69.55,142.875,362.9,31.8,34.5,"wet","wet","1"
"270-2012-1-224","dmp",2012,2013,1,124,56.36,57.375,145.73,15.8,34.5,"dry","wet","3"
"270-2011-1-250","dmp",2011,2013,2,167,75.91,95.375,242.25,14.1,34.5,"dry","wet","3"
"270-2012-1-231","dmp",2012,2013,1,126,57.27,62.25,158.12,15.8,34.5,"dry","wet","3"
"270-2012-1-236","dmp",2012,2013,1,119,54.09,63.125,160.34,15.8,34.5,"dry","wet","3"
"270-2011-1-248","dmp",2011,2013,2,140,63.64,99,251.46,14.1,34.5,"dry","wet","3"
"270-2009-1-033","dmp",2009,2013,4,167,75.91,153.75,390.52,20.4,34.5,"intermediate","wet","3"
"270-2012-1-260","dmp",2012,2013,1,98,44.55,17.5,44.45,15.8,34.5,"dry","wet","3"
"270-2010-1-007","dmp",2010,2013,3,161,73.18,119.875,304.48,31.8,34.5,"wet","wet","1"
"270-2011-1-295","dmp",2011,2013,2,131,59.55,105.75,268.6,14.1,34.5,"dry","wet","3"
"270-2012-1-237","dmp",2012,2013,1,105,47.73,59,149.86,15.8,34.5,"dry","wet","3"
"270-2009-1-010","dmp",2009,2013,4,194,88.18,153.5,389.89,20.4,34.5,"intermediate","wet","3"
"270-2008-1-008","dmp",2008,2013,5,178,80.91,177,449.58,20.3,34.5,"intermediate","wet","3"
"270-2009-1-020","dmp",2009,2013,4,194,88.18,180.75,459.1,20.4,34.5,"intermediate","wet","3"
"270-2007-1-051","dmp",2007,2013,6,217,98.64,171,434.34,38.35,34.5,"wet","wet","1"
"270-2010-1-010","dmp",2010,2013,3,170,77.27,165.5,420.37,31.8,34.5,"wet","wet","1"
"270-2007-1-011","dmp",2007,2013,6,198,90,118.625,301.31,38.35,34.5,"wet","wet","1"
"270-2010-1-003","dmp",2010,2013,3,181,82.27,133.875,340.04,31.8,34.5,"wet","wet","1"
"270-2012-1-265","dmp",2012,2013,1,125,56.82,35.25,89.53,15.8,34.5,"dry","wet","3"
"270-2011-1-247","dmp",2011,2013,2,143,65,139.25,353.7,14.1,34.5,"dry","wet","3"
"270-2009-1-023","dmp",2009,2013,4,188,85.45,168.125,427.04,20.4,34.5,"intermediate","wet","3"
"270-2009-1-011","dmp",2009,2013,4,182,82.73,127.875,324.8,20.4,34.5,"intermediate","wet","3"
"270-2010-1-028","dmp",2010,2013,3,185,84.09,108.375,275.27,31.8,34.5,"wet","wet","1"
"270-2010-1-005","dmp",2010,2013,3,178,80.91,119.25,302.9,31.8,34.5,"wet","wet","1"
"270-2010-1-021","dmp",2010,2013,3,181,82.27,140.125,355.92,31.8,34.5,"wet","wet","1"
"270-2011-1-244","dmp",2011,2013,2,154,70,106.75,271.14,14.1,34.5,"dry","wet","3"
"270-2010-1-038","dmp",2010,2013,3,163,74.09,127.875,324.8,31.8,34.5,"wet","wet","1"
"270-2011-1-213","dmp",2011,2013,2,144,65.45,99.75,253.36,14.1,34.5,"dry","wet","3"
"270-2011-1-333","dmp",2011,2013,2,172,78.18,84,213.36,14.1,34.5,"dry","wet","3"
"270-2011-1-242","dmp",2011,2013,2,156,70.91,103.625,263.21,14.1,34.5,"dry","wet","3"
"270-2008-1-017","dmp",2008,2013,5,193,87.73,189.125,480.38,20.3,34.5,"intermediate","wet","3"
"270-2012-1-233","dmp",2012,2013,1,99,45,33.125,84.14,15.8,34.5,"dry","wet","3"
"270-2011-1-260","dmp",2011,2013,2,152,69.09,104.375,265.11,14.1,34.5,"dry","wet","3"
"270-2011-1-215","dmp",2011,2013,2,149,67.73,77.625,197.17,14.1,34.5,"dry","wet","3"
"270-2007-1-006","dmp",2007,2013,6,228,103.64,142.625,362.27,38.35,34.5,"wet","wet","1"
"270-2012-1-278","dmp",2012,2013,1,119,54.09,52.5,133.35,15.8,34.5,"dry","wet","3"
