year,pasture,sex,dressed_weight,live_weight,age,
2016,West Toro-Fed,,70,91,8.5,
2016,West Toro-Fed,,72,93,7.5,
2016,West Toro-Fed,,54,70,1.5,
2016,West Toro-Fed,,65,84,3.5,
2016,West Toro-Fed,,74,96,2.5,
2016,West Toro-Fed,,71,92,3.5,
2016,West Toro-Fed,,80,104,8.5,
2016,West Toro-Fed,,42,55,0.5,
2016,East Yana,,75,97,3.5,
2016,West Toro-Fed,,85,110,4.5,
2016,Yana,,89,116,4.5,
2016,East Toro,,38,49,0.5,
2016,SE Toro,,31,40,0.5,
2016,SE Toro,,72,93,2.5,
2016,SE Toro,,42,55,0.5,
2016,SE Toro,,44,57,0.5,
2016,SE Toro,,33,43,0.5,
2014,East Yana,,,41,0.5,
2014,East Yana,,,43,0.5,
2014,East Yana,,,53,0.5,
2014,East Yana,,,39,0.5,
2014,East Yana,,,52,0.5,
2014,East Yana,,,38,0.5,
2014,East Yana,,,47,0.5,
2014,East Yana,,,37,0.5,
2014,East Yana,,,42,0.5,
2014,East Yana,,,54,0.5,
2014,East Yana,,,41,0.5,
2014,East Yana,,,50,0.5,
2014,East Yana,,,46,0.5,
2014,West Yana,,,47,0.5,
2014,West Yana,,,49,0.5,
2014,West Yana,,,44,0.5,
2014,West Yana,,,48,0.5,
2014,West Yana,,,47,0.5,
2014,West Yana,,,46,0.5,
2014,West Yana,,,49,0.5,
2014,West Yana,,,47,0.5,
2014,West Yana,,,46,0.5,
2014,West Yana,,,50,0.5,
2014,West Yana,,,82,1.5,
2014,West Yana,,,119,5.5,
2014,West Yana,,,86,1.5,
2014,West Yana,,,84,1.5,
2014,West Yana,,,89,1.5,
2014,West Yana,,,108,3.5,
2014,West Yana,,,110,1.5,
2014,West Yana,,,95,3.5,
2014,West Yana,,,113,2.5,
2014,West Yana,,,120,5.5,
2014,West Yana,,,92,5.5,
2014,West Yana,,,95,1.5,
2014,West Yana,,,110,5.5,
2014,West Yana,,,89,1.5,
2014,West Yana,,,92,1.5,
2014,West Yana,,,123,4.5,
2014,West Yana,,,99,6.5,
2014,West Yana,,,105,1.5,
2014,West Yana,,,103,3.5,
2014,West Yana,,,110,2.5,
2014,West Yana,,,96,1.5,
2014,West Yana,,,114,4.5,
2014,West Yana,,,115,2.5,
2014,West Yana,,,98,3.5,
2014,West Yana,,,108,1.5,
2014,West Yana,,,118,2.5,
2014,West Yana,,,114,1.5,
